Zip,Weekday,Number of Trips
10032,3,227
10032,4,270
10032,5,296
10032,6,222
10034,0,211
10034,1,196
10034,2,177
10034,3,215
10034,4,216
10034,5,336
10034,6,310
10035,0,199
10035,1,203
10035,2,203
10035,3,314
10035,4,405
10035,5,469
10035,6,372
10037,0,197
10037,1,209
10037,2,236
10037,3,221
10037,4,266
10037,5,293
10037,6,269
10038,0,493
10038,1,633
10038,2,682
10038,3,760
10038,4,867
10038,5,836
10038,6,516
10039,0,150
10039,1,221
10039,2,249
10039,3,195
10039,4,233
10039,5,216
10039,6,200
10044,0,1336
10044,1,1719
10044,2,1747
10044,3,1837
10044,4,1818
10044,5,1265
10044,6,823
10065,0,1926
10065,1,2477
10065,2,2540
10065,3,2662
10065,4,2581
10065,5,2146
10065,6,1376
10069,0,839
10069,1,983
10069,2,1003
10069,3,1014
10069,4,1113
10069,5,881
10069,6,591
10103,0,2316
10103,1,3154
10103,2,3453
10103,3,3541
10103,4,2840
10103,5,1826
10103,6,1296
10110,0,3509
10110,1,5259
10110,2,5678
10110,3,5648
10110,4,4206
10110,5,1945
10110,6,1395
10111,0,975
10111,1,1351
10111,2,1426
10111,3,1459
10111,4,1095
10111,5,513
10111,6,290
10112,0,303
10112,1,454
10112,2,437
10112,3,479
10112,4,317
10112,5,119
10112,6,89
10115,0,145
10115,1,162
10115,2,165
10115,3,211
10115,4,208
10115,5,205
10115,6,149
10119,0,1885
10119,1,2324
10119,2,2511
10119,3,2807
10119,4,2280
10119,5,1226
10119,6,1543
10152,0,872
10152,1,1261
10152,2,1365
10152,3,1312
10152,4,962
10152,5,249
10152,6,197
10153,0,2857
10153,1,3902
10153,2,4023
10153,3,4046
10153,4,3403
10153,5,2311
10153,6,1509
10154,0,863
10154,1,1324
10154,2,1340
10154,3,1531
10154,4,1293
10154,5,675
10154,6,441
10162,0,1363
10162,1,1539
10162,2,1599
10162,3,1596
10162,4,1657
10162,5,1299
10162,6,905
10167,0,1285
10167,1,1806
10167,2,1953
10167,3,2104
10167,4,1502
10167,5,417
10167,6,363
10171,0,1142
10171,1,1517
10171,2,1614
10171,3,1764
10171,4,1473
10171,5,842
10171,6,588
10199,0,2975
10199,1,3525
10199,2,3516
10199,3,3826
10199,4,3512
10199,5,2755
10199,6,2318
10271,0,1002
10271,1,1266
10271,2,1413
10271,3,1467
10271,4,1368
10271,5,1153
10271,6,716
10278,0,1392
10278,1,1758
10278,2,1904
10278,3,2135
10278,4,2152
10278,5,1856
10278,6,1217
10280,0,477
10280,1,571
10280,2,609
10280,3,603
10280,4,693
10280,5,663
10280,6,454
10282,0,1054
10282,1,1251
10282,2,1420
10282,3,1484
10282,4,1371
10282,5,1177
10282,6,748
10301,0,2
10301,1,5
10301,2,7
10301,3,4
10301,4,5
10301,5,5
10301,6,8
10302,0,2
10302,1,2
10302,2,4
10302,3,2
10302,4,2
10302,5,2
10302,6,1
10303,0,7
10303,1,4
10303,2,6
10303,3,3
10303,4,7
10304,0,4
10304,1,5
10304,2,6
10304,3,3
10304,4,5
10304,5,11
10304,6,7
10305,0,10
10305,1,8
10305,2,10
10305,3,11
10305,4,15
10305,5,14
10305,6,6
10306,1,1
10306,3,3
10306,4,2
10306,5,2
10306,6,1
10308,1,1
10308,4,2
10308,6,2
10309,4,1
10310,0,4
10310,4,6
10310,5,7
10310,6,2
10311,0,1
10311,1,1
10311,2,1
10311,3,1
10311,4,3
10311,5,2
10312,3,1
10312,4,1
10312,5,2
10312,6,1
10314,0,3
10314,2,1
10314,3,5
10314,4,1
10314,5,2
10314,6,2
10451,0,56
10451,1,107
10451,2,123
10451,3,115
